Plot,Aspect,Northerness,Easterness
Rinker_Rock_406_far_one_yr_ctrl,111.86,0.327315142,-0.944915233
Rinker_Rock_406_far_one_yr_ctrl,111.86,0.327315142,-0.944915233
Rinker_Rock_5_near_one_yr_ctrl,152.43,-0.062715116,0.99803147
Rinker_Rock_5_near_one_yr_ctrl,152.43,-0.062715116,0.99803147
Rinker_Rock_6_far_one_yr_ctrl,177.46,0.039974274,0.999200709
Rinker_Rock_6_far_one_yr_ctrl,177.46,0.039974274,0.999200709
Rinker_Rock_601_near_one_yr_ctrl,146.53,-0.431307595,0.902204943
Rinker_Rock_601_near_one_yr_ctrl,146.53,-0.431307595,0.902204943
Rinker_Rock_602_far_one_yr_ctrl,233.91,0.138208863,0.990403105
Rinker_Rock_602_far_one_yr_ctrl,233.91,0.138208863,0.990403105
Rinker_Rock_603_near_one_yr_ctrl,195.52,0.737621424,0.675214511
Rinker_Rock_603_near_one_yr_ctrl,195.52,0.737621424,0.675214511
Rinker_Rock_604_far_one_yr_ctrl,247.35,-0.670569866,0.741846382
Rinker_Rock_604_far_one_yr_ctrl,247.35,-0.670569866,0.741846382
Rinker_Rock_605_near_one_yr_ctrl,264.61,0.754294731,0.656535954
Rinker_Rock_605_near_one_yr_ctrl,264.61,0.754294731,0.656535954
Rinker_Rock_606_far_one_yr_ctrl,283.94,0.365467643,0.930824045
Rinker_Rock_606_far_one_yr_ctrl,283.94,0.365467643,0.930824045
Rinker_Rock_607_near_one_yr_ctrl,239.84,0.47224682,0.881466359
